question,reponse
Quelle nationalité décide d'exploiter économiquement le Cameroun ?,Allemands
Quelle profession prime sur les intérêts de l'armée au Cameroun pendant la domination allemande ?,marchand
Qui a influencé le chancelier allemand dans son engagement dans un projet colonial au Cameroun ?,Adolph Woermann
Qui gouvernait l'Allemagne lorsqu'elle établit un protectorat au Cameroun ?,Bismarck
Quel atout attire l'Allemagne au Cameroun ?,potentiel agricole
À quelle date les Allemands instaurent-ils un protectorat sur le Cameroun ?,5 juillet 1884
Quel royaume a pâti de l'influence des religions monothéistes au Cameroun ?,Royaume bamoun
Comment s'appelle le royaume du Sahel ?,Royaume du Kanem-Bornou
Quels sont les premiers bouleversements sociétaux traversés par le Cameroun ?,"traite négrière, soit occidentale, soit orientale, la diffusion du christianisme par le sud et de l’islam par le nord"
Qui sont les premiers partenaires commerciaux du Cameroun ?,les Européens et les Sahéliens
Qui a colonisé le territoire camerounais après le Portugal et la Hollande ?,Allemands
Quel pays est associé aux tribus nomades Bakas ?,Cameroun
À quand remonte la sédentarisation des premières sociétés au Cameroun ?,Ier millénaire av. J.-C
Qui furent les premiers à habiter le Cameroun actuel ?,les chasseurs-cueilleurs Baka
Qu'est-ce qui a été concomitant à l'extension des langues bantoues sur le continent africain ?,l’agriculture
Jusqu'où les langues bantoues se sont-elles répandues sur le continent africain ?,Afrique du Sud
Où se situe le terrain du Standard AC ?,Suresnes
Quelle équipe a perdu contre l'Olympique lillois en demi-finale ?,Standard AC
Quel est le premier club provincial à s'engager dans la compétition ?,Olympique lillois
Qui est l'opposant du RC France lors de la finale de l'édition 1907 ?,Olympique lillois
Quel club peut remporter définitivement le trophée en 1907 ?,RC France
Quelle équipe a été battue en finale par le Standard AC lors de la Coupe Dewar 1904 ?,RC France
Qui a remporté sa quatrième victoire lors de la Coupe Dewar 1904 ?,Standard AC
"Lors de l'édition 1903, combien de fois l'United SC avait-elle perdue en finale ?",deux défaites
Grâce à quels joueurs l'United SC était-elle considérée comme la meilleure équipe ?,Havercroft-Probert-Mainwaring
Qui était considérée comme la meilleure équipe de l'édition 1903 ?,United SC | l'United SC
Qui a gagné le premier trophée ?,Standard AC
Combien de victoires au total sont nécessaires pour s'adjuger définitivement le trophée ?,quatre fois en tout
Combien de victoires consécutives sont nécessaires pour s'adjuger définitivement le trophée ?,trois fois consécutivement
Quand est-ce que la Coupe Dewar se déroule ?,en fin de saison
Pourquoi les Britanniques ne pouvaient-ils pas prendre part aux compétitions officielles ?,à cause des délais de qualification des joueurs
A qui était réservée la Coupe Manier ?,aux clubs n'alignant pas plus de trois joueurs étrangers
Pourquoi la Coupe Manier a-t-elle été créée ?,favoriser l’éclosion des clubs de Français
En quelle énnée la Coupe Manier a-t-elle été créée ?,en 1897
Qui a créé la Coupe Manier ?,M. Manier
De qui le football français est-il l'apanage dans les années 1890 ?,des Anglais
Quand a eu lieu la dernière édition ?,en 1915
Quand commence le déclin de la Coupe Dewar ?,fin des années 1900
Qui participe à la Coupe ?,des clubs parisiens | presque exclusivement par des clubs parisiens
A qui est délégué l'organisation des rencontres ?,l'USFSA
Qui a mis en place la compétition Dewar ?,Monsieur le shériff -charge d'adjoint au maire en Irlande- Dewar
Quelle est l’évolution du marche de telephone fixe dans les années 2000 en Algerie?,relativement stagnante
Combien de lignes téléphoniques avant l’Algérie en 2005?,en moyenne 494 lignes téléphoniques pour 1 000 personnes et environ 58 pour les utilisateurs Internet
Quel autre opérateur historique a suivit le lancement de BlackBerry en Algérie?,opérateur historique Mobilis (Algérie Télécom
Quel opérateur a lancé BlackBerry en 2007 en Algerie?,opérateur Djezzy (Orascom Télécom Algérie
Quand s’est lancée la premiere offre BlackBerry en Algerie?,15 novembre 2006
Depuis quand le secteur des telecommunications s’améliore en Algerie?,depuis 2000
Quels problèmes de télécommunications subsistent pour ameliorer le reseau dans les années 2000?,les problèmes de surfacturation
Quel était le but des reformes dans le secteur des télécommunications dans les années 2000?,de développer et d'améliorer les technologies et le réseau des télécommunications
Qu’est qui a change pour le reseau des telecommunications en Algérie dans les années 2000?,la privatisation du marché des télécommunications
Comment était le réseau algérien en dehors des grandes villes avant les années 2000?,"le réseau était encore largement sous-développé, et les téléphones fixes et les ordinateurs y étaient très limités"
Quels pays vont supporter la premiere centrale nucléaire en Algérie?,la France et les États-Unis
Quand sera mise en œuvre la premiere centrale nucléaire en Algerie?,en 2020
Avec quoi fonctionne le réacteur nucléaire NUR?,à l'eau légère
Où se situe Draria?,près d'Alger
A quoi sert le nucléaire algérien?,à des fins pacifiques
Quels sont les créneaux privilégiés par les programmes de développement initié par l’Etat algérien?,L'énergie solaire et éolienne
Quelle proportion de la production globale d’électricité en 2010 représente le technopole solaire à Hassi R’Mel?,5 %
A partir de quand le technopole solaire a Hassri R’Mel sera-t-il opérationnel?,à la fin de l’année 2008
Quel sera la capacité du technophile solaire a Hassi R’Mel?,150 MW/an
Quel pays dispose du potentiel solaire le plus important du pourtour méditerranéen?,Algérie
Que est le montant des investissements annoncés par le MIPO en 2003?,"2,519 milliards d’euros"
En quelle annee l’Algerie devient une destination notable pour les IDE?,2004
Quel pays est en tete de la region MEDA dans les années 2000 en termes de flux d’investissements?,Algérie
A quels domaines s’élargissent les IDE en Algerie apres 2004?,"télécommunications, le tourisme, l’industrie"
A quoi est due la reprise de l’économie en Algérie en 2004?,au secteur de l’énergie
Quelle est la capitale de l'état des zirides,Béjaïa
En quelle année les hammadides sont elles reconnues comme calife légitime ?,1014
En quelle année les abbassides abandonnent ils le chiisme ?,1046
Que comprend l'Etat des zirides ?,la ville de Béjaïa (sa capitale) et le Nord-Est de l’actuelle Algérie
Ou se situe l'autorité des ifrenides et des maghraouas,Ouest algérien et sur une partie du sud d'Algérie et au Maroc actuel
Dans quelle matières sont façonnés les bijoux algériens ?,argent
Comment sont décorés les bijoux kabyles ?,"cloisonnés de fils ou filigranes, sertis de corail ou émaillés"
Quelles sont les couleurs préférés dans l'art algérien en matière de bijoux ?,"bleu foncé, vert et jaune"
quels sont les bijoux fabriqués en Kabylie ?,"bracelets de bras ou de chevilles, les boîtes d'allumettes, bagues, colliers, broches, fibules, croix du Sud"
quelles sont les régions d'Algérie qui créent des bijoux ?,"Kabylie, Aurès, Sud algérois, Ghardaïa, Tamanrasset"
A qui les femmes peuvent-elles s'adresser en cas de violence conjugale ?,au commissariat ou à la brigade de gendarmerie | commissariat ou à la brigade de gendarmerie
que peuvent proposer les commissariats de police ?,prennent sa déposition et l'encouragent à établir un certificat médical
qui est l'auteur de l'article ?,Fadéla Boumnedjel-Chitour
quelle est la réaction des officiers ?,la dissuader avec un discours moralisateur | discours moralisateur
pourquoi la femme ne porte pas plainte davantage ?,"obstacles sont multiples, les difficultés immenses et les chances d'aboutir minimes"
Quelles sont les particularités de l'artisanat algérien ?,richesse
Qu'utilisent les artisans algériens comme matières premières ?,modestie des matériaux | ressources naturelles
A quoi fait référence la décoration de la production artisanale ?,vertus protectrices
Qu'est-ce qui explique la richesse de la création artisanale en Algérie ?,"diversité des conditions climatiques, des ressources naturelles et les différentes civilisations"
A quoi sert l'artisanat algérien ?,dans un but utilitaire | but utilitaire
Qui entre en guerre contre la France en 1794 ?,les puissances européennes coalisées
Qu'est-ce que le dey d'Alger accorde à la France révolutionnaire sous le Directoire ?,un prêt d’argent sans intérêts
Quand la dette est elle dépréciée ?,quand la France redevient royaliste
Pourquoi le dey d'Alger est il faché contre le consul de France ?,car il comprend qu’il ne récupérera pas son argent et que les livraisons de blé ne lui seront jamais payées
Contre qui le dey d'Alger est il faché ?,le consul de France
Contre quelle ennemi s'allièrent les tribus dans les Aurès ?,les Ottomans
Qu'est-ce qui mit le feu dans les régions montagneuses des Aurès ?,plusieurs conflits internes entre fractions Chaouis
Contre quel ennemi les Ouled Daoud ont ils protéger leur territoire ?,Ottomans | les Ottomans
Quelle fut la conséquence de la division des Chabias ?,l'indépendance de plusieurs tribus | l'indépendance de plusieurs tribus à l'égard des Ottomans
Dans quelle région les tribus s'allièrent elles contre les Ottomans ?,Dans les Aurès
Pour quelle finalité la régence d'Alger paya l'Ouadia ?,Pour relier Alger et Constantine
Qu'est-ce que l'Ouadia ?,un droit de passage
Où se situe la chaîne des Bibans ?,en Kabylie
De qui les Bibans sont ils le domaine ?,du royaume des Beni Abbès et des Mokrani
Quelle région est dominée par le royaume des Beni Abbès et des Mokrani ?,la chaîne des Bibans
Qu'est-ce qui a causé la mort du Rais Hamidou ?,un boulet
Quel était l'objectif de l'escadre américaine au moment où elle rencontrera le Rais Hamidou ?,demander raison au dey Omar
Quelles furent les conséquences de la mort du Rais Hamidou ?,plusieurs défaites de la régence d'Alger face aux autres nations dans les batailles navales
Quelle était l'origine de la richesse de l'État et de la ville d'Alger ?,profits de la course | les profits de la course
Avec quelles nations la régence d'Alger avait elle des relations difficiles ?,"la Grande-Bretagne, les États-Unis, la France, l'Espagne"
Quelle ville les Portugais conquièrent ils au début du XVe siècle ?,Ceuta
Qu'est-ce que les Espagnols conquièrent à la suite du siège du port d'Alger ?,l'îlot du Peñon | îlot du Peñon
À qui les Algérois demandent ils de l'aide pour repousser les Espagnols ?,aux corsaires turcs
Qui réussit à repousser les Espagnols hors d'Alger ?,Les frères Barberousse
Avec l'aide de qui les frères Barberousse repoussent ils les Espagnols ?,des tribus kabyles
Quelle est la date de l’annexion de l’Algérie à la France ?,1834
Combien de provinces d’Algérie sont devenues les départements français d’Algérie ?,trois
De quelle nationalité étaient majoritairement les colons qui allaient devenir les pieds-noirs ?,français et espagnols
Quel territoire est conquis en 1902 ?,le Sahara
En quelle année sont fondés les départements français d’Algérie ?,1847 | 1848
En quelle année Tahert devient capital de l'Algérie ?,761
Où sz situe le royaume ibadite créé par Ibn Rustom ?,le nord du Maghreb
Quel est le statut du royaume ibadite par rapport au califat des Abbassides ?,indépendance
Que font les idrissides et les soulimandes en Algérie de l'Ouest ?,prennent le pouvoir
Quel émirat dispose en 756 d'une indépendance ?,émirat de Cordoue
Où se trouve Zaatcha ?,dans les Aurès
En quelle année se rend Abd el-Kader ?,1847
Quelle est l’année de la conquête du Constantinois ?,1848
Quelle est la date de la reddition de la Grande Kabylie ?,juillet 1857
Quel événement provoque la fin de la résistance ?,la capture de Lalla Fatma N’Soumer
Quelle est l’année du traité de la Tafna ?,1837
Quel traité dessine les limites entre Maroc et Algérie ?,traité de Lalla Maghnia | le traité de Lalla Maghnia
Quelle est la date du traité de Tanger ?,10 septembre 1844
Qui est le sultan marocain battu à la bataille d’Isly ?,Abderrahmane ben Hicham
Quel général remporte la bataille d’Isly ?,le général Bugeaud
Quelle fut la date du débarquement à Siri-Ferruch ?,14 juin 1830
Qui était à la tête des troupes françaises ?,Louis Auguste Victor de Ghaisne de Bourmont
Combien d’hommes ont pris part à l’opération ?,37 000 | quelque 37 000 hommes
Combien de navires furent employés pour l’opération ?,675
Qui a fourni les navires ?,l’entreprise Seillière
En quelle année Leroy de Saint-Arnaud est-il devenu capitaine ?,1837
L’armée de quel pays a conquis l’Algérie village par village ?,L’armée française
Dans quelles proportions la population algérienne a-t-elle été réduite entre 1830 et 1850 ?,tiers
Quelle était la principale cause de décès du peuple algérien pendant la conquête de l'Algérie ?,famine
Quelle expédition qui permit à Leroy de Saint-Arnaud de devenir général de division eut lieu en 1851 ?,l’expédition de Petite Kabylie
Par quelles lois est régi un indigène musulman qui a la les droits de citoyen français ?,la Charia | les lois civiles et politiques de la France | il est régi par les lois civiles et politiques de la France
Un algérien avait-il les mêmes droits qu'un français ?,les droits y afférents étaient de toute façon remis en cause | droits y afférents étaient de toute façon remis en cause
Un indigène musulman peut-il servir dans l'armée ?,peut être admis à servir dans les armées
Est-ce qu'un indigène musulman peut avoir les droits d'un citoyen français ?,"Il peut, sur sa demande, être admis à jouir des droits de citoyen français"
Par quelles lois est régi un indigène musulman qui n'a pas demandé à jouir des droits de citoyen français ?,la Charia
Quels ingrédients la cuisine algérienne utilise-t-elle depuis l'antiquité ?,légumes et céréales
Quelles sont les influences présentes dans la cuisine algérienne ?,cuisine méditerranéenne et saharienne
À quels produits l'algérie doit-elle le surnom de grenier de Rome ?,céréales
Quelles ont été les influences méditerranéennes sur la cuisine algérienne ?,"berbères, arabes, turcs, juifs, andalous, français et espagnols"
Comment s'est produite l'influence extérieure sur la cuisine algérienne ?,les conquêtes du territoire algérien
Quel style de musique a-t-il été influencé par le Diwan dans le nord de l'Algérie ?,sétifienne | la musique sétifienne
Dans quelle région du monde s'est développée la musique chaouie ?,Algérie
Quel est l'instrument de musique traditionnel joué par Biyat Edaber en musique chaoui ?,Imzad
Quel style de musique traditionnelle est caractéristique de l'extrême sud-est de l'Algérie ?,La musique terguie | terguie
D'où vient la musique chaouie ?,les régions des Aurès
Comment s’appelle le premier élément de la 8eme colonne du tableau périodique des éléments ?,ununennium
Quel est le nom de l’élément 119 du tableau périodique ?,ununennium
"En juin 2017, combien d’élément de la 8eme colonne du tableau périodique ont été observés ?",aucun
Comment s’appelle le 2eme élément de la 8eme colonne du tableau périodique des éléments ?,unbinilium
Quel est l’autre nom de « l’élément 120 » du tableau périodique ?,unbinilium
Quand Costas fut-il ministre en Moldavie ?,durant la guerre du Dniestr
Qui réclame une Nouvelle-Russie ?,Pavel Goubarev
Quand le général Costas a-t-il fait une déclaration à propos des conflits ukrainiens ?,2015
"Comment s'appellerait l'alliance d'une partie de l'Ukraine, de la Transnistrie et de la Gagaouzie ?",Nouvelle-Russie
De quoi fut ministre Monsieur Costas dans son pays ?,défense
Que signifie UPU ?,Union postale universelle
Les timbres de Transnistrie existent depuis quelle année ?,1991
Qui refuse l'affranchissement de Transnistrie ?,Ukraine
L'affranchissement de Transnistrie sont valables dans quels pays ?,"Russie, en Biélorussie, aux Kazakhstan"
L'état de Transnistrie est rattaché à quel pays à priori ?,Moldavie
Quel est la forme allongée de la Transnistrie ?,république moldave près du Dniestr
Combien de formes différentes sont utilisées pour désigner le gouvernement de Tiraspol ?,trois
Quelles sont les langues utilisées par l'administration de Tiraspol ?,"russe, ukrainien et « moldave"
Quel est l'autre nom de la Transnistrie ?,République moldave nistréenne
Quel est la partie de mot qui signifie auprès de en ukrainien ?,При
En quelle année la Transnistrie est rendue indépendante de fait ?,1991
Quel événement a rendu la Transnistrie indépendante par défaut ?,dislocation de l'URSS | la dislocation de l'URSS
Quelle forme institutionelle a la Transnistrie ?,la république moldave du Dniestr | république
Quels pays d'Amérique latine entretiennent des échanges diplomatiques avec la Transnistrie ?,le Nicaragua et le Venezuela
De quel côté du Dniestr est située la Transnistrie ?,rive gauche
Quelle part du territoire actuel de la Moldavie correspond à celui de la Rssm en 1940 ?,"62,8 % du territoire que la RSSM possédait à sa fondation en juillet 1940"
Qu'est-ce que la Rssm ?,république socialiste soviétique de Moldavie
Quand a été créée la RSSM ?,juillet 1940 | 2 août 1940
Quelle estla surface de la Transnistrie ?,28 250 km2
Dans quel pays est la Transnistrie ?,république de Moldavie
Qui a posé le pied en premier sur l'île ?,les Portugais
En quelle année a-t-on pris connaissance de l'île ?,1559
Qui a en premier cartographié l'île ?,des membres de l'équipage
Qui a calculé la position de l'île en longitude ?,Álvares et Dias
Quel érudit ajoute une mention sur la carte ?,Evert Gysberths
Où le volcanisme s'est il installé ?,dans les parties basses
Quel a été le résultat du volcanisme ?,de petits cônes scoriacés
Qu'est ce qui indique une activité volcanique ?,Des fumerolles et des sources chaudes
Quand l'activité du volcan peut-elle reprendre ?,à tout moment
Quelle est la dernière source de volcanisme ?,une fissure orientée selon l'effondrement
Quelle a été l'altitude maximale du volcan ?,400 mètres
Quelle est la raison de la réduction de la taille du volcan ?,de grands effondrements
Quelle ligne de direction l'effondrement a-t-il suivi ?,nord-ouest/sud-est
Quelle a été la conséquence de cet effondrement ?,élargissement de sa circonférence
Qu'est ce qui a immergé le cratère ?,la mer
Quelle île est proche de l'île saint paul ?,île Amsterdam
De quels éléments géologiques le volcan est-il  composé ?,tufs jaunes palagonitiques
Où la cheminée du volcan se situe-t-elle ?,au centre du Bassin du Cratère
Quelle est la distance entre le volcan et sa cheminée ?,un kilomètre plus au sud
Quelle est l'exposition du volcan ?,nord
Quelle surface l'île recouvre-t-elle ?,une superficie de 8 km2 | 8 km2
Quelles sont les caractéristiques géologiques de l'île ?,rocheuse et désertique
Quel type de structure géologique a créé cet espace insulaire ?,partie émergée d'un ancien volcan
Quel est le point culminant de l'île ?,la crête de Novara
A quelle altitude l'île culmine-t-elle ?,268 m au-dessus du niveau de la mer
De quelles forces dispose le chef des opérations russes?,"14 bataillons d'infanterie, deux régiments de cavalerie de ligne, 5 régiments de cosaques, 3 000 hommes de troupes irrégulières asiatiques et 70 canons"
Quelle est la zone d'opération cibler par les armées du vice-Roi?,entre Kars et Ardahan
Quel est l'objectif de Paskevitch?,Il cherche à empêcher la réunion des deux principales armées ottomanes
Quelle est la taille de l'armée ottomane qu'affronte les forces de Paskevitch le 30 juin 1829?,30 000 hommes
Quelle est la taille de l'armée ottomane qu'affrontent les forces de Paskevitch le 2 juillet 1829?,20 000 hommes
Quel est le théâtre des opérations retenu par les Turcs?,les frontières de la Géorgie
Quel est l'objectif stratégique immédiat pour la Sublime porte à ce moment?,entreprennent de contre-attaquer
Qui dirige les opérations Ottomanes sur le théâtre géorgien?,Ahmet Pacha
Quel est l'autre objectif des Ottomans en dehors de Akhaltsikhe?,contre-attaquer sur les frontières de la Géorgie | Kars
Quelle fut la première ville prise par le vice-Roi en Géorgie?,Akhalkalaki
Quelle était la caractéristique de la prochaine cible du vice-Roi après son succès à Akhalkalaki?,capitale du pachalik de Tchildir
Quelles étaient les forces turques disponibles pour protéger Akhaltsikhe?,30 000 hommes
Quel est le bilan des pertes de l'armée de la Sublime porte lors de son premier affrontement avec les forces de Paskevitch?,"3 000 prisonniers, 12 canons, 13 drapeaux et des approvisionnements importants"
Quel bilan de la chute d'Akhaltsikhe pour les turcs?,les Ottomans perdent 15 000 tués et prisonniers et 67 canons
Quel fut le résultat du conflit entre Saint-Pétersbourg et Téhéran?,le traité de Turkmanchai | l'avantage des Russes
Quelle fut la traduction juridique de la victoire de l'Empereur Nicolas Ier sur le Chah Fath Ali Chah Qadjar?,le traité de Turkmanchai
Quel est le successeur du prince Menchikov à la tête des troupes russes?,Le vice-roi Ivan Paskevitch | vice-roi Ivan Paskevitch
Pour quelle raison prédécesseur du vice-roi Ivan Paskevitch dût-il transmettre son commandement?,il est rappelé avec la flotte pour prendre part au siège de Varna
Quel est le bilan de la chute de Kars pour la Sublime porte?,"2 000 Turcs sont tués dans la bataille, 3 000 soldats et 51 canons capturés"
Pour quelle raison logique les russes ne purent obtenir ailleurs le même succès qu'à Varna ?,la garnison ottomane étant supérieure en nombre aux assaillants
Quelles étaient les étaient les positions turques à conquérir pour Saint-Pétersbourg sur le territoire bulgare?,"Choumen, Varna et Silistra"
Quelles étaient les caractéristiques militaires des cibles des armées de Nicolas Ier?,villes fortifiées
Qui dirigeait la composante navale de force militaire russe?,Alexeï Greig
Quelle fut la première et seule des trois villes assiégées par les Russes à tomber entre leurs mains?,Varna
Comment sont organisées les services déconcentrés des administrations civiles de l'Etat?,circonscription régionale ; / - circonscription départementale ; / - circonscription d’arrondissement
Où est situé la préfecture de région?,chef-lieu de la région
Par qui est dirigée la région?,le préfet de région
Depuis quel décret la région est une circonscription administrative de droit commun?,décret no 92-604 | décret no 92-604 du 1er juillet 1992
Que retrouve-t-on dans une circonscription administrative?,services extérieurs de l'État
Combien de Z.E.A.T. l'Insee définit-elle en 1967 ?,huit
Qu'est-ce que les Z.E.A.T. ?,zones d'études et d'aménagement du territoire
Qu'est-ce que la DATAR ?,la Délégation à l'aménagement du territoire et à l'action régionale
Quelles sont les trois grandes régions utilisées par le Ve Plan ?,"France Est, France Ouest et région parisienne"
Combien de grandes régions le commissariat général au Plan retenait-il ?,trois
Quelle notion le traité de Rome ne définissait-il pas ?,région
Où la Conférence sur les économies régionales se tient-elle ?,Bruxelles
Quand la conférence sur les économie régionales se tient-elle ?,en décembre 1961
Combien de Grandes Régions socio-économiques étaient-elles définies pour les enquêtes de l'INSEE ?,neuf
Quelles étaient les régions retenues par l'INSEE pour ses enquêtes ?,"le Nord, l'Est, le Bassin Parisien, Paris, le Sud-Est, la Méditerranée, le Massif Central, le Sud-Ouest et l'Ouest"
Par qui le président de la région est-il élu ?,l'assemblée
uel est l'organe exécutif de la région ?,président
Comment le conseil régional est-il désigné ?,élu
Quel est l'organe délibérant de la région ?,le conseil régional
Sous l'autorité de qui l'action régionale s'exécute-t-elle  ?,préfet de région
De quoi les régions ont-elles bénéficié de la part de l'État ?,transferts de compétence
Par qui les élus régionaux sont-ils reconnus ?,l'Union européenne
De quels renouveaus les régions constituent-elles parfois le cadre d'expression  ?,"régionaliste, autonomiste voire indépendantiste"
De quelles ressources les régions bénéficient-elles ?,une partie de la TVA
Depuis quand les régions ont-elles vu leur poids politique s'accroitre ?,1990
Combien de régions la France compte-t-elle en 2015 ?,vingt-sept
Depuis quand le statut de collectivité locale des régions françaises est-il inscrit dans la constitution ?,2003 | depuis 2003
Quand acquièrent-elles un statut de collectivité locale ?,1982
À partir de quand les régions françaises sont-elles crées sous leur forme actuelle ?,1956
De quels entités les régions françaises héritent-elles ?,d'anciennes provinces et régions historiques
que comporte la bouche droite ?,une succession[pas clair] de trois peaux épaisses
d'où provient la pastille noire ?,un mélange (masala) de riz bouilli et de poudre de manganèse
qu'est-ce qui est glissé entre les peaux ?,petits morceaux de roseau | De petits morceaux de roseau
pourquoi les roseaux sont-ils glissés sous les peaux,pour donner le « buzz » caractéristique de cet instrument
comien mesure la bouche droite ?,17 cm
en quel matériau était fabriqué le mridang?,terre cuite | terre
de quand date le mridang?,2000 ans | 2000
quelle danse accompagnait le mridang?,bharata
Comment accordait-on le mridang?,appliquait de l'argile | on
par quoi est attesté le fait que le mridang est l'ancêtre de la famille?,traité
quel instrument est l'instrument des dieux?,mridang
quel est l'instrument des dieux?,Le mridang | mridang
qui a créé le mridang,Brahmâ
que fait-on avnt de toucher le mridang,prière
qu'est ce que le mridang?,instrument
Au départ quels groupes religieux ont participé à la création de la Société des Irlandais unis ?,"un groupe de protestants libéraux, anglicans et presbytériens"
